IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,45728,8.8.4.4,853,TCP,40,12904,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,45750,8.8.4.4,853,TCP,26,8116,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,45760,8.8.4.4,853,TCP,35,7510,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.143.206,443,192.168.20.102,44666,TCP,74,47438,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.206,443,192.168.20.102,47593,UDP,44,34870,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,43744,216.58.204.246,443,TCP,19,7532,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,45590,216.58.204.130,443,TCP,41,10752,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,40748,216.58.204.134,443,TCP,30,8948,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,49357,216.58.204.130,443,UDP,24,20169,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.42,443,192.168.20.102,40892,TCP,92,61609,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.42,443,192.168.20.102,41479,UDP,38,27640,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,49630,216.58.205.42,443,TCP,4,337,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,25430,8.8.8.8,53,UDP,2,194,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,15822,8.8.8.8,53,UDP,2,164,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,40560,216.58.204.227,80,TCP,10,1049,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.102,37910,216.58.205.36,443,TCP,20,3196,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,40574,216.58.204.227,80,TCP,10,1049,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.102,37924,216.58.205.36,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,45796,8.8.4.4,853,TCP,19,3234,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,48884,216.58.204.130,443,UDP,34,18615,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.143.206,443,192.168.20.102,39491,UDP,472,300910,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,45818,8.8.4.4,853,TCP,26,4984,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,43968,74.125.111.102,443,TCP,99,82356,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43970,74.125.111.102,443,TCP,108,83144,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43804,216.58.204.246,443,TCP,30,5356,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44012,74.125.111.102,443,UDP,2624,2953184,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,47928,216.58.204.246,443,UDP,37,26708,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43312,216.58.204.129,443,TCP,37,14597,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,10029,8.8.8.8,53,UDP,2,194,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,37968,216.58.205.36,443,TCP,18,3076,N/A | www.google.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,40622,216.58.204.227,80,TCP,10,1049,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.102,49393,216.58.204.246,443,UDP,42,24195,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
