IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,48394,52.25.160.34,443,TCP,16,5986,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48398,52.25.160.34,443,TCP,16,6018,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48402,52.25.160.34,443,TCP,24,6844,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,48418,52.25.160.34,443,TCP,24,6907,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
185.15.58.224,443,192.168.20.102,37018,TCP,173,148112,N/A | N/A,N/A | N/A,N/A | N/A,US-WMF-20130110,IP Privato/Riservato
108.139.210.126,443,192.168.20.102,39988,TCP,160,143344,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
13.35.198.106,443,192.168.20.102,43942,TCP,41,17640,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.154.161.25,443,192.168.20.102,36792,TCP,103,92360,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
104.16.124.96,443,192.168.20.102,55446,TCP,74,19190,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.31.78,443,192.168.20.102,59140,TCP,28,11665,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
18.154.161.128,443,192.168.20.102,57144,UDP,148,131634,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,34336,3.166.81.41,443,TCP,32,15125,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
