IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,58938,8.8.4.4,853,TCP,6,420,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.18.26.48,443,192.168.20.101,52620,TCP,3794,3152480,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52624,TCP,12,3521,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52628,TCP,12,3522,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52640,TCP,12,3553,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52644,TCP,12,3618,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52646,TCP,12,3521,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52650,TCP,171,71272,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52652,TCP,13,3615,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,52660,TCP,13,3582,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,32960,3.165.255.71,443,TCP,44,16233,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.138.199.115,443,192.168.20.101,34122,TCP,52,20440,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
104.18.12.117,443,192.168.20.101,48604,TCP,389,365933,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
151.101.1.91,443,192.168.20.101,55444,TCP,41,8609,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
104.18.12.117,443,192.168.20.101,60404,UDP,20,12129,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.138.199.115,443,192.168.20.101,34132,TCP,84,28669,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.138.199.115,443,192.168.20.101,34136,TCP,16,6408,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
104.16.79.73,443,192.168.20.101,52898,TCP,38,14083,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,41240,35.201.112.186,443,TCP,130,102534,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.101,57810,34.120.195.249,443,TCP,17,5895,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,57818,34.120.195.249,443,TCP,104,51150,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,57820,34.120.195.249,443,TCP,8,1091,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,52608,35.201.112.186,443,UDP,21,9308,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.101,38766,35.80.131.136,443,TCP,19,5576,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,38774,35.80.131.136,443,TCP,46,19320,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,38776,35.80.131.136,443,TCP,14,4868,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,37735,34.120.195.249,443,UDP,20,11225,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,54840,8.8.4.4,853,TCP,24,4864,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.101,51800,TCP,30,10428,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,59020,3.233.158.26,443,TCP,27,15849,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,59034,3.233.158.26,443,TCP,36,23455,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,59046,3.233.158.26,443,TCP,17,7350,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.65.82.71,443,192.168.20.101,47298,TCP,34,11194,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
104.18.26.48,443,192.168.20.101,37668,TCP,2464,1964320,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,36216,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,34546,3.233.158.25,443,TCP,59,30279,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,34558,3.233.158.25,443,TCP,28,13928,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
