IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
142.251.209.35,80,192.168.20.102,44620,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38292,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.35,80,192.168.20.102,44630,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,46168,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46176,8.8.4.4,853,TCP,18,3180,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.35,80,192.168.20.102,44648,TCP,10,1049,N/A | N/A,N/A | N/A,connectivitycheck.gstatic.com | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38314,216.58.205.36,443,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,19326,8.8.8.8,53,UDP,2,164,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,2436,8.8.8.8,53,UDP,2,194,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.36,443,192.168.20.102,42072,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,40976,216.58.204.227,80,TCP,10,1049,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
192.168.20.102,46202,8.8.4.4,853,TCP,20,3956,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46335,216.58.204.138,443,UDP,43,31331,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.42,443,192.168.20.102,39178,UDP,43,22891,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,40994,216.58.204.227,80,TCP,12,1193,N/A | connectivitycheck.gstatic.com.,N/A | N/A,N/A | connectivitycheck.gstatic.com,IP Privato/Riservato,GOOGLE
142.251.209.36,443,192.168.20.102,42094,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,46222,8.8.4.4,853,TCP,22,4088,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,46238,8.8.4.4,853,TCP,17,3114,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.36,443,192.168.20.102,42126,TCP,18,3076,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
