IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
140.86.220.9,443,192.168.20.102,47928,TCP,28,13455,N/A | N/A,N/A | N/A,N/A | N/A,ORACLE-FR,IP Privato/Riservato
192.168.20.102,34086,35.201.70.94,443,UDP,45,21724,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,50536,35.201.70.94,443,TCP,21,8377,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,50542,35.201.70.94,443,TCP,21,8473,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,46772,95.101.235.225,443,TCP,35,16456,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
192.168.20.102,60800,34.232.134.151,443,TCP,29,14070,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
162.247.243.29,443,192.168.20.102,38136,TCP,26,10906,N/A | N/A,N/A | N/A,N/A | N/A,NR-NET-CHI,IP Privato/Riservato
192.168.20.102,49804,92.122.95.137,443,TCP,54,30085,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
18.154.161.19,443,192.168.20.102,57250,TCP,47,24898,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,46056,3.33.220.150,443,TCP,36,10122,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
150.171.22.12,443,192.168.20.102,48822,TCP,33,11559,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
150.171.22.12,443,192.168.20.102,48828,TCP,38,12276,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
192.168.20.102,56231,216.58.204.230,443,UDP,44,29473,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
157.240.231.1,443,192.168.20.102,50267,UDP,206,165576,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
151.101.240.157,443,192.168.20.102,35786,TCP,35,9669,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.102,37422,23.55.82.223,443,TCP,25,11187,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,36220,216.58.204.230,443,UDP,29,25164,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
162.247.243.29,443,192.168.20.102,38150,TCP,89,44267,N/A | N/A,N/A | N/A,N/A | N/A,NR-NET-CHI,IP Privato/Riservato
192.168.20.102,48940,44.195.114.4,443,TCP,61,23793,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
150.171.22.12,443,192.168.20.102,48838,TCP,32,10972,N/A | N/A,N/A | N/A,N/A | N/A,MSFT,IP Privato/Riservato
