IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
18.154.161.129,443,192.168.20.102,47358,TCP,179,85738,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,40146,63.140.62.139,443,TCP,34,9820,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AS-CLOUD-ENGINEERING
18.154.161.129,443,192.168.20.102,47364,TCP,39,12302,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.64.126,443,192.168.20.102,51596,TCP,39,13071,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,56628,52.8.128.37,443,TCP,34,11448,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.102,43044,3.219.19.95,443,TCP,39,11372,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
18.65.82.43,443,192.168.20.102,33666,TCP,1285,1449357,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.43,443,192.168.20.102,33672,TCP,36,13637,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,46192,8.8.4.4,853,TCP,18,3709,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,56793,8.8.8.8,443,UDP,124,45798,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.71,443,192.168.20.102,34043,UDP,132,96912,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,48161,8.8.8.8,443,UDP,43,31917,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
18.65.82.63,443,192.168.20.102,35820,UDP,44,36986,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,44832,TCP,17,4693,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
18.65.82.63,443,192.168.20.102,42083,UDP,29,27829,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,35652,UDP,25,23118,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.71,443,192.168.20.102,51168,TCP,84,22962,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
192.168.20.102,33886,3.166.81.23,443,TCP,83,59822,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
108.139.210.52,443,192.168.20.102,58118,TCP,181,154971,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
13.35.198.11,443,192.168.20.102,39234,TCP,46,17991,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
142.250.180.132,443,192.168.20.102,40983,UDP,31,24934,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.132,443,192.168.20.102,41430,TCP,57,16473,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,46561,216.58.204.228,443,UDP,42,31085,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,36216,216.58.204.228,443,TCP,142,119466,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46880,8.8.4.4,853,TCP,28,4441,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,37426,8.8.4.4,443,UDP,109,40210,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
108.139.210.51,443,192.168.20.102,44724,UDP,168,111064,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
108.139.210.51,443,192.168.20.102,53069,UDP,29,27434,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
18.65.82.75,443,192.168.20.102,59946,UDP,31,30049,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
192.168.20.102,32948,23.35.136.123,443,TCP,502,385753,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
192.168.20.102,57266,23.60.189.88,443,TCP,191,171246,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
104.18.86.42,443,192.168.20.102,60716,TCP,36,18178,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,37800,63.140.62.236,443,TCP,33,9046,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AS-CLOUD-ENGINEERING
104.18.86.42,443,192.168.20.102,60730,TCP,30,11157,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,32952,23.35.136.123,443,TCP,37,11844,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
