IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
178.250.1.12,443,192.168.20.101,47848,TCP,24,6083,N/A | N/A,N/A | N/A,N/A | N/A,CRITEO-EUROPE-INFRA,IP Privato/Riservato
192.168.20.101,45312,216.58.204.226,443,UDP,41,29181,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,48311,216.58.204.132,443,UDP,37,27673,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46682,192.178.202.138,443,UDP,25,25961,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.181.72,443,192.168.20.101,48843,UDP,33,22134,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,44622,UDP,44,28866,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,40998,216.58.204.130,443,UDP,32,25760,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.209.36,443,192.168.20.101,45585,UDP,172,136498,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.34,443,192.168.20.101,43877,UDP,31,21008,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.34,443,192.168.20.101,43190,TCP,26,7886,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,41867,192.178.202.138,443,UDP,89,46857,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39534,192.178.202.138,443,TCP,112,93763,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,45733,192.178.202.138,443,UDP,61,31048,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39536,192.178.202.138,443,TCP,44,17693,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.130,443,192.168.20.101,41432,UDP,65,40924,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.209.33,443,192.168.20.101,41209,UDP,38,30638,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,48569,UDP,59,45193,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
104.17.25.14,443,192.168.20.101,43570,UDP,21,13673,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,37468,UDP,25,25884,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.161,443,192.168.20.101,45209,UDP,46,29963,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,42325,UDP,106,88335,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
185.89.210.212,443,192.168.20.101,38194,TCP,46,27755,N/A | N/A,N/A | N/A,N/A | N/A,EUADNEXUS-FR-IB-2,IP Privato/Riservato
192.168.20.101,47930,63.179.87.251,443,TCP,58,27074,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZO-4
142.250.180.130,443,192.168.20.101,40358,UDP,25,23437,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,49432,35.71.131.137,443,TCP,36,12776,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,49254,23.60.189.41,443,TCP,17,3390,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI
104.18.24.18,443,192.168.20.101,44878,TCP,19,7289,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,43024,35.244.159.8,443,UDP,24,20253,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.101,45880,50.19.9.20,443,TCP,35,12328,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AMAZON-EC2-8
103.231.98.106,443,192.168.20.101,44280,TCP,34,14012,N/A | N/A,N/A | N/A,N/A | N/A,PubMatic-AP-SG,IP Privato/Riservato
178.32.210.231,443,192.168.20.101,49710,TCP,34,13392,N/A | N/A,N/A | N/A,N/A | N/A,OVH_209543201,IP Privato/Riservato
